Name,Price,Producer,MPN,EAN,UPC,Length,Slots,8-Pin Connectors,6-Pin Connectors,HDMI,DisplayPort,DVI,VGA,Boost Clock,Vram,Memory Clock,TDP,Image URL
MSI GeForce RTX 3060 Ti Gaming X 8G LHR,$507.76 USD,MSI,V397-231R,4719072850029,824142259276.0,278 mm,2.5,1,1,1,3,0,0,1770 MHz,8 GB,14000 MHz,220 W,https://m.media-amazon.com/images/I/71gV7xzG6fS._AC_UY218_.jpg
MSI GeForce RTX 3060 Ti Ventus 2X 8G OCV1 LHR,$456.98 USD,MSI,V397-232R,4719072852061,824142259351.0,235 mm,2.0,2,0,1,3,0,0,1695 MHz,8 GB,14000 MHz,200 W,https://m.media-amazon.com/images/I/71gV7xzG6fS._AC_UY218_.jpg
MSI GeForce RTX 3060 Ventus 2X,$290.14 USD,MSI,V397-022R,4719072793814,824142240106.0,235 mm,2.0,1,0,1,3,0,0,1807 MHz,12 GB,7500 MHz,170 W,https://m.media-amazon.com/images/I/71gV7xzG6fS._AC_UY218_.jpg
MSI GeForce RTX 3060 Ventus 3X OC,$290.14 USD,MSI,V397-031R,4719072793821,824142240113.0,316 mm,2.0,1,0,1,3,0,0,1807 MHz,12 GB,7500 MHz,170 W,https://m.media-amazon.com/images/I/71gV7xzG6fS._AC_UY218_.jpg
MSI GeForce RTX 3070 Gaming Z Trio 8G LHR,$680.69 USD,MSI,V390-264R,4719072850784,824142259283.0,323 mm,2.7,2,0,1,3,0,0,MHz,8 GB,14000 MHz,240 W,https://m.media-amazon.com/images/I/61Q9O2PUvJS._AC_UY218_.jpg
MSI GeForce RTX 3070 Ti Gaming X Trio,$716.38 USD,MSI,V505-009R,4719072843120,824142255797.0,323 mm,2.75,2,0,1,3,0,0,1830 MHz,8 GB,19000 MHz,310 W,https://m.media-amazon.com/images/I/71NSJDxndtL._AC_UY218_.jpg
MSI GeForce RTX 3070 Ti Ventus 3X 8G OC LHR,$660.08 USD,MSI,V505-007R,4719072844028,824142256039.0,316 mm,2.75,2,0,1,3,0,0,1800 MHz,8 GB,19000 MHz,290 W,https://m.media-amazon.com/images/I/71gV7xzG6fS._AC_UY218_.jpg
MSI GeForce RTX 3070 Ventus 3X Plus 8G OC LHR,$565.79 USD,MSI,V390-457R,4719072858926,824142261385.0,305 mm,2.5,2,0,1,3,0,0,MHz,8 GB,14000 MHz,220 W,https://m.media-amazon.com/images/I/71rdJ3-N63L._AC_UY218_.jpg
MSI GeForce RTX 3080 Gaming Z Trio 10G LHR,$761.64 USD,MSI,V389-203R,4719072852160,824142259436.0,323 mm,2.75,3,0,1,3,0,0,1830 MHz,10 GB,19000 MHz,370 W,https://m.media-amazon.com/images/I/71Z8T2mkLhL._AC_UY218_.jpg
MSI GeForce RTX 3080 Ti Gaming X Trio,$1301.48 USD,MSI,V389-058R,4719072824969,824142251188.0,324 mm,2.75,3,0,1,3,0,0,1770 MHz,12 GB,19000 MHz,350 W,https://m.media-amazon.com/images/I/71NSJDxndtL._AC_UY218_.jpg
MSI GeForce RTX 3080 Ventus 3X Plus 10G OC LHR,$810.24 USD,MSI,V389-263R,4719072874452,824142266687.0,305 mm,2.7,2,0,1,3,0,0,1740 MHz,10 GB,19000 MHz,320 W,https://m.media-amazon.com/images/I/71Z8T2mkLhL._AC_UY218_.jpg
MSI GeForce RTX 3090 Ti Gaming X Trio,$1885.97 USD,MSI,V509-014R,4719072939977,824142281215.0,325 mm,3.5,0,0,1,3,0,0,MHz,24 GB,,450 W,https://m.media-amazon.com/images/I/71QcGUtjUuL._AC_UY218_.jpg
MSI GeForce RTX 3090 Ti Suprim X,$1269.4 USD,MSI,V509-003R,4719072931599,824142280324.0,325 mm,3.5,0,0,1,3,0,0,1950 MHz,24 GB,,480 W,https://m.media-amazon.com/images/I/71QcGUtjUuL._AC_UY218_.jpg
