Name,Price,Producer,MPN,EAN,UPC,Base Clock,Turbo Clock,Unlocked Multiplier,Cores,Threads,TDP,Socket,Integrated GPU,Image URL
Intel Core i9-12900KF,$419.98 USD,Intel,BX8071512900KF,5.03E+12,7.36E+11,3.2 GHz,5.2 GHz,TRUE,8,16,125 W,1700,FALSE,https://m.media-amazon.com/images/I/51CUAct4KVL._AC_UY218_.jpg
AMD A10-9700,$31.74 USD,AMD,AD9700AGABBOX,7.30E+11,7.30E+11,3.5 GHz,GHz,FALSE,4,4,65 W,AM4,Radeon R7,https://m.media-amazon.com/images/I/51qFncTA66L._AC_UY218_.jpg
AMD A6-7400K,$49.0 USD,AMD,AD740KYBJABOX,7.30E+11,,3.5 GHz,3.9 GHz,TRUE,1,1,65 W,FM2+,FALSE,https://m.media-amazon.com/images/I/71x31p8x6BL._AC_UY218_.jpg
AMD A8-7600,$77.17 USD,AMD,AD7600YBJABOX,7.30E+11,,3.1 GHz,3.8 GHz,FALSE,2,2,65 W,FM2+,FALSE,https://m.media-amazon.com/images/I/41j61j9aZGL._AC_UY218_.jpg
AMD A8-7650K,$79.83 USD,AMD,AD765KXBJASBX,7.30E+11,,3.3 GHz,3.7 GHz,TRUE,2,2,95 W,FM2+,Radeon R7,https://m.media-amazon.com/images/I/A1vX7oEDOfL._AC_UY218_.jpg
AMD Athlon 200GE,$68.31 USD,AMD,YD200GC6FBBOX,7.30E+11,7.30E+11,3.2 GHz,GHz,FALSE,2,4,35 W,AM4,Radeon RX Vega 3,https://m.media-amazon.com/images/I/81DdgQpbMqL._AC_UY218_.jpg
AMD Athlon 220GE,$80.08 USD,AMD,YD220GC6FBBOX,7.30E+11,,3.4 GHz,GHz,FALSE,2,4,35 W,AM4,Radeon RX Vega 3,https://m.media-amazon.com/images/I/61OJEJXAXOL._AC_UY218_.jpg
AMD Athlon 240GE,$71.52 USD,AMD,YD240GC6FBBOX,7.30E+11,,3.5 GHz,GHz,FALSE,2,4,35 W,AM4,Radeon RX Vega 3,https://m.media-amazon.com/images/I/61OJEJXAXOL._AC_UY218_.jpg
AMD FX-6300,$87.16 USD,AMD,FD6300WMHKBOX,7.30E+11,,3.5 GHz,4.1 GHz,TRUE,6,6,95 W,AM3+,FALSE,https://m.media-amazon.com/images/I/81X4pIqFQ4L._AC_UY218_.jpg
AMD FX-8300,$144.4 USD,AMD,FD8300WMHKBOX,7.30E+11,,3.3 GHz,4.2 GHz,TRUE,8,8,95 W,AM3+,FALSE,https://m.media-amazon.com/images/I/71wfycSqaoL._AC_UY218_.jpg
AMD FX-8370,$145.36 USD,AMD,FD8370FRHKHBX,7.30E+11,,4.0 GHz,4.3 GHz,TRUE,8,8,125 W,AM3+,FALSE,https://m.media-amazon.com/images/I/81aAqEzKuDL._AC_UY218_.jpg
AMD FX-9370,$239.38 USD,AMD,FD9370FHHKWOF,7.30E+11,,4.4 GHz,4.7 GHz,TRUE,4,4,220 W,AM3+,FALSE,https://m.media-amazon.com/images/I/61RK0IxVnDL._AC_UY218_.jpg
AMD FX-9590,$234.29 USD,AMD,FD9590FHHKWOF,7.30E+11,,4.7 GHz,5.0 GHz,TRUE,8,8,220 W,AM3+,FALSE,https://m.media-amazon.com/images/I/61oPXi6DNAL._AC_UY218_.jpg
AMD Ryzen 3 1200,$117.1 USD,AMD,YD1200BBAEBOX,7.30E+11,7.30E+11,3.1 GHz,3.4 GHz,TRUE,4,4,65 W,AM4,FALSE,https://m.media-amazon.com/images/I/81DdgQpbMqL._AC_UY218_.jpg
AMD Ryzen 3 1300X,$75.16 USD,AMD,YD130XBBAEBOX,7.30E+11,,3.5 GHz,3.7 GHz,TRUE,4,4,65 W,AM4,FALSE,https://m.media-amazon.com/images/I/71S4Zxo0yrL._AC_UY218_.jpg
AMD Ryzen 3 2200G,$101.55 USD,AMD,YD2200C5FBBOX,7.30E+11,7.30E+11,3.5 GHz,3.7 GHz,TRUE,4,4,65 W,AM4,Radeon RX Vega 8,https://m.media-amazon.com/images/I/81DdgQpbMqL._AC_UY218_.jpg
AMD Ryzen 3 3100,$120.4 USD,AMD,100-100000284BOX,7.30E+11,,3.6 GHz,3.9 GHz,TRUE,4,8,65 W,AM4,FALSE,https://m.media-amazon.com/images/I/71S4Zxo0yrL._AC_UY218_.jpg
AMD Ryzen 3 3200G,$100.81 USD,AMD,YD3200C5FHBOX,7.30E+11,7.30E+11,3.6 GHz,4.0 GHz,TRUE,4,4,65 W,AM4,Radeon RX Vega 8,https://m.media-amazon.com/images/I/81DdgQpbMqL._AC_UY218_.jpg
AMD Ryzen 3 4100,$86.86 USD,AMD,100-100000510BOX,7.30E+11,,3.8 GHz,4.0 GHz,TRUE,4,8,65 W,AM4,FALSE,https://m.media-amazon.com/images/I/71S4Zxo0yrL._AC_UY218_.jpg
AMD Ryzen 5 1400,$181.21 USD,AMD,YD1400BBAEBOX,7.30E+11,,3.2 GHz,3.4 GHz,TRUE,4,8,65 W,AM4,FALSE,https://m.media-amazon.com/images/I/51So7GoGvxL._AC_UY218_.jpg
AMD Ryzen 5 1500X,$148.04 USD,AMD,YD150XBBAEBOX,7.30E+11,,3.5 GHz,3.7 GHz,TRUE,4,8,65 W,AM4,FALSE,https://m.media-amazon.com/images/I/51So7GoGvxL._AC_UY218_.jpg
