Name,Price,Producer,MPN,EAN,UPC,Ram Type,Size,Clock,Timings,Sticks,Image URL
Corsair Vengeance LED blue DDR4-3200 CL16,$145.57 USD,Corsair,CMU16GX4M2C3200C16B,8.44E+11,8.44E+11,DDR4-3200,16 GB,3200,,2,https://m.media-amazon.com/images/I/61ivb-uHryL._AC_UY218_.jpg
Corsair Vengeance LED red DDR4-2666 CL16,$205.03 USD,Corsair,CMU32GX4M4A2666C16R,8.44E+11,8.44E+11,DDR4-2666,32 GB,2666,,4,https://m.media-amazon.com/images/I/51-XKnBADML._AC_UY218_.jpg
Corsair Vengeance LED red DDR4-2666 CL16,$211.24 USD,Corsair,CMU32GX4M2A2666C16R,8.44E+11,8.44E+11,DDR4-2666,32 GB,2666,,1,https://m.media-amazon.com/images/I/51-XKnBADML._AC_UY218_.jpg
Corsair Vengeance LED red DDR4-3000 CL15,$628.18 USD,Corsair,CMU64GX4M4C3000C15R,8.44E+11,8.44E+11,DDR4-3000,64 GB,3000,,1,https://m.media-amazon.com/images/I/51gLnYN1W7L._AC_UY218_.jpg
Corsair Vengeance LED red DDR4-3200 CL16,$144.94 USD,Corsair,CMU16GX4M2C3200C16R,8.44E+11,8.44E+11,DDR4-3200,16 GB,3200,,2,https://m.media-amazon.com/images/I/71e6YWJio-L._AC_UY218_.jpg
Corsair Vengeance LED white DDR4-2666 CL16,$215.4 USD,Corsair,CMU32GX4M2A2666C16,8.44E+11,8.44E+11,DDR4-2666,32 GB,2666,,1,https://m.media-amazon.com/images/I/51W0wOwu7lS._AC_UY218_.jpg
Corsair Vengeance LED white DDR4-2666 CL16,$220.43 USD,Corsair,CMU32GX4M4A2666C16,8.44E+11,8.44E+11,DDR4-2666,32 GB,2666,,4,https://m.media-amazon.com/images/I/51W0wOwu7lS._AC_UY218_.jpg
Corsair Vengeance LED white DDR4-2666 CL16,$468.81 USD,Corsair,CMU64GX4M4A2666C16,8.44E+11,8.44E+11,DDR4-2666,64 GB,2666,,1,https://m.media-amazon.com/images/I/71USnvbnjIL._AC_UY218_.jpg
Corsair Vengeance LED white DDR4-3000 CL15,$646.03 USD,Corsair,CMU64GX4M4C3000C15,8.44E+11,8.44E+11,DDR4-3000,64 GB,3000,,1,https://m.media-amazon.com/images/I/61GpY38PAWL._AC_UY218_.jpg
Corsair Vengeance LED white DDR4-3200 CL16,$135.13 USD,Corsair,CMU16GX4M2C3200C16,8.44E+11,8.44E+11,DDR4-3200,16 GB,3200,,2,https://m.media-amazon.com/images/I/61wQBIM1oML._AC_UY218_.jpg
Corsair Vengeance Low DDR3-1600 CL10 Low Profile,$78.16 USD,Corsair,CML16GX3M2A1600C10,8.44E+11,,DDR3-1600,16 GB,1600,,2,https://m.media-amazon.com/images/I/71kj+GH57-L._AC_UY218_.jpg
Corsair Vengeance Low DDR3-1600 CL9 Low Profile blue,$67.72 USD,Corsair,CML8GX3M2A1600C9B,8.44E+11,,DDR3-1600,8 GB,1600,,2,https://m.media-amazon.com/images/I/71kj+GH57-L._AC_UY218_.jpg
Corsair Vengeance Low Profile DDR3-1600 CL109,$65.75 USD,Corsair,CML16GX3M2A1600C10B,8.44E+11,8.44E+11,DDR3-1600,16 GB,1600,,2,https://m.media-amazon.com/images/I/71kj+GH57-L._AC_UY218_.jpg
Corsair Vengeance Low Profile DDR3-1600 CL9,$84.86 USD,Corsair,CML16GX3M2A1600C9,8.44E+11,,DDR3-1600,16 GB,1600,,2,https://m.media-amazon.com/images/I/71kj+GH57-L._AC_UY218_.jpg
Corsair Vengeance Low Profile DDR3-1600 CL9,$109.3 USD,Corsair,CML16GX3M4A1600C9,8.44E+11,8.44E+11,DDR3-1600,16 GB,1600,,4,https://m.media-amazon.com/images/I/71kj+GH57-L._AC_UY218_.jpg
Corsair Vengeance LPX Black DDR4-2133 CL13,$68.69 USD,Corsair,CMK16GX4M4A2133C13,8.44E+11,,DDR4-2133,16 GB,2133,,4,https://m.media-amazon.com/images/I/715CpLBIXBL._AC_UY218_.jpg
Corsair Vengeance LPX Black DDR4-2133 CL13,$464.55 USD,Corsair,CMK64GX4M8A2133C13,8.44E+11,,DDR4-2133,64 GB,2133,,8,https://m.media-amazon.com/images/I/51gLnYN1W7L._AC_UY218_.jpg
Corsair Vengeance LPX Black DDR4-2133 CL15,$304.24 USD,Corsair,CMK32GX4M4A2133C15,8.44E+11,,DDR4-2133,32 GB,2133,,4,https://m.media-amazon.com/images/I/715CpLBIXBL._AC_UY218_.jpg
Corsair Vengeance LPX Black DDR4-2666 CL16,$399.11 USD,Corsair,CMK128GX4M8A2666C16,8.44E+11,8.44E+11,DDR4-2666,128 GB,2666,,1,https://m.media-amazon.com/images/I/51gLnYN1W7L._AC_UY218_.jpg
Corsair Vengeance LPX Black DDR4-3000 CL15,$195.14 USD,Corsair,CMK16GX4M4B3000C15,8.44E+11,,DDR4-3000,16 GB,3000,,4,https://m.media-amazon.com/images/I/51W4+1Da0IL._AC_UY218_.jpg
Corsair Vengeance LPX Blue DDR4-2400 CL14,$220.22 USD,Corsair,CMK32GX4M4A2400C14B,8.44E+11,,DDR4-2400,32 GB,2400,,4,https://m.media-amazon.com/images/I/71jGZ9WpjTL._AC_UY218_.jpg
Corsair Vengeance LPX DDR4-2400 CL16,$152.32 USD,Corsair,CMK32GX4M4A2400C16,8.44E+11,,DDR4-2400,32 GB,2400,,4,https://m.media-amazon.com/images/I/71H121okOlL._AC_UY218_.jpg
"Corsair Vengeance LPX red + AF, DDR4-3600, CL 18 - 16 GB Dual Kit",$223.13 USD,Corsair,CMK16GX4M2B3600C18R,8.44E+11,8.44E+11,DDR4-3600,16 GB,3600,18-19-19-39,2,https://m.media-amazon.com/images/I/61wCOVcyvFL._AC_UY218_.jpg
Corsair Vengeance LPX red DDR4-2133 CL13,$83.41 USD,Corsair,CMK16GX4M4A2133C13R,8.44E+11,,DDR4-2133,16 GB,2133,,4,https://m.media-amazon.com/images/I/715CpLBIXBL._AC_UY218_.jpg
Corsair Vengeance LPX red DDR4-2133MHz CL13,$68.9 USD,Corsair,CMK16GX4M2A2133C13R,8.44E+11,,DDR4-2133,16 GB,2133,,2,https://m.media-amazon.com/images/I/61wCOVcyvFL._AC_UY218_.jpg
Corsair Vengeance LPX red DDR4-2400MHz CL14,$26.27 USD,Corsair,CMK4GX4M1A2400C14R,8.44E+11,,DDR4-2400,4 GB,2400,,1,https://m.media-amazon.com/images/I/816t6aP2NoL._AC_UY218_.jpg
Corsair Vengeance LPX red DDR4-2666 CL16,$39.89 USD,Corsair,CMK8GX4M1A2666C16R,8.44E+11,,DDR4-2666,8 GB,2666,,1,https://m.media-amazon.com/images/I/71vxc2QE2hL._AC_UY218_.jpg
Corsair Vengeance LPX black + AF,$108.8 USD,Corsair,CMK16GX4M2B3600C18,8.44E+11,,DDR4-3600,16 GB,3600,18-19-19-39,2,https://m.media-amazon.com/images/I/61wCOVcyvFL._AC_UY218_.jpg
Corsair Vengeance LPX black DDR4-2400 CL16,$139.98 USD,Corsair,CMK16GX4M4A2400C16,8.44E+11,8.44E+11,DDR4-2400,16 GB,2400,,4,https://m.media-amazon.com/images/I/71GIdaJy3tL._AC_UY218_.jpg
Corsair Vengeance LPX black DDR4-2400MHz CL14,$39.21 USD,Corsair,CMK4GX4M1A2400C14,8.44E+11,,DDR4-2400,4 GB,2400,,1,https://m.media-amazon.com/images/I/816t6aP2NoL._AC_UY218_.jpg
Corsair Vengeance LPX black DDR4-2666MHz CL16,$27.71 USD,Corsair,CMK8GX4M1A2666C16,8.44E+11,,DDR4-2666,8 GB,2666,,1,https://m.media-amazon.com/images/I/51-XKnBADML._AC_UY218_.jpg
"Corsair Vengeance LPX Series red DDR4-2666, CL16 - 16 GB Quad Kit",$102.05 USD,Corsair,CMK16GX4M4A2666C16R,8.44E+11,,DDR4-2666,16 GB,2666,16-18-18-35,4,https://m.media-amazon.com/images/I/71jGZ9WpjTL._AC_UY218_.jpg
