Name,Price,Producer,MPN,EAN,UPC,Watt,Size,Efficiency Rating,Image URL
Corsair CX750,$75.64 USD,Corsair,CP-9020123-NA,843591084161,843591084161.0,750 W,ATX,80 Plus Bronze,https://m.media-amazon.com/images/I/71NcQsKlIvL._AC_UY218_.jpg
Corsair CX750M,$90.66 USD,Corsair,CP-9020061-NA,803982757555,843591042987.0,750 W,ATX,80 Plus Bronze,https://m.media-amazon.com/images/I/71NcQsKlIvL._AC_UY218_.jpg
Corsair CX850M,$100.01 USD,Corsair,CP-9020099-NA,808113005284,843591054539.0,850 W,ATX,80 Plus Bronze,https://m.media-amazon.com/images/I/717DqyUhPlS._AC_UY218_.jpg
Corsair HX1000,$206.72 USD,Corsair,CP-9020139-NA,843591093477,843591093477.0,1000 W,ATX,80 Plus Platinum,https://m.media-amazon.com/images/I/81qkLv+EvdL._AC_UY218_.jpg
Corsair HX1000i High-Performance ATX Power Supply,$238.63 USD,Corsair,CP-9020074-NA,806293518730,843591041157.0,1000 W,ATX,80 Plus Platinum,https://m.media-amazon.com/images/I/81qkLv+EvdL._AC_UY218_.jpg
Corsair HX750,$141.44 USD,Corsair,CP-9020137-NA,843591093316,843591093316.0,750 W,ATX,80 Plus Platinum,https://m.media-amazon.com/images/I/61tOgJ849GL._AC_UY218_.jpg
Corsair HX750i High-Performance ATX Power Supply,$181.34 USD,Corsair,CP-9020072-NA,843591041300,804891030234.0,750 W,ATX,80 Plus Platinum,https://m.media-amazon.com/images/I/71XeKGayJaL._AC_UY218_.jpg
Corsair HX850,$152.32 USD,Corsair,CP-9020138-NA,843591093392,843591093392.0,850 W,ATX,80 Plus Platinum,https://m.media-amazon.com/images/I/71+1f+CPfeL._AC_UY218_.jpg
Corsair HX850i High-Performance ATX Power Supply,$199.47 USD,Corsair,CP-9020073-NA,8435910412254,843591041225.0,850 W,ATX,80 Plus Platinum,https://m.media-amazon.com/images/I/61eKAbgBZRL._AC_UY218_.jpg
Corsair RM1000x,$188.59 USD,Corsair,CP-9020094-NA,843591050906,843591050906.0,1000 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/71K5YbKrcYL._AC_UY218_.jpg
Corsair RM650i,$132.01 USD,Corsair,CP-9020081-NA,843591045520,843591045520.0,650 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/71-8QqxEbrL._AC_UY218_.jpg
Corsair RM850i,$159.58 USD,Corsair,CP-9020083-NA,7426900770738,,850 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/61eKAbgBZRL._AC_UY218_.jpg
Corsair RM850x,$123.31 USD,Corsair,CP-9020093-NA,843591050821,843591050821.0,850 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/61eKAbgBZRL._AC_UY218_.jpg
Corsair RM850x,$126.93 USD,Corsair,CP-9020156-NA,843591024914,843591024914.0,850 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/61eKAbgBZRL._AC_UY218_.jpg
Corsair RMX Series (2021) RM550x,$37.27 USD,Corsair,CP-9020197-EU,840006602750,,550 W,ATX,80 PLUS Gold,https://m.media-amazon.com/images/I/71GuaM0Q5UL._AC_UY218_.jpg
Corsair SF450,$79.05 USD,Corsair,CP-9020104-NA,843591068963,843591068963.0,450 W,SFX,80 Plus Gold,https://m.media-amazon.com/images/I/716AZ6NQNuL._AC_UY218_.jpg
Corsair SF600,$126.93 USD,Corsair,CP-9020105-NA,843591069045,843591069045.0,600 W,SFX,80 Plus Gold,https://m.media-amazon.com/images/I/716AZ6NQNuL._AC_UY218_.jpg
Corsair VS400,$42.83 USD,Corsair,CP-9020117-NA,843591072984,843591072984.0,400 W,ATX,80 Plus,https://m.media-amazon.com/images/I/61Q8UQrNpxL._AC_UY218_.jpg
Corsair VS500,$41.38 USD,Corsair,CP-9020118-NA,843591073011,843591073011.0,500 W,ATX,80 Plus,https://m.media-amazon.com/images/I/71V8e069n-L._AC_UY218_.jpg
Corsair VS600,$49.13 USD,Corsair,CP-9020119-NA,843591073042,843591073042.0,600 W,ATX,80 Plus,https://m.media-amazon.com/images/I/717DqyUhPlS._AC_UY218_.jpg
Cougar GX-F,$93.72 USD,Cougar,31TP055.0008,4715302449551,871520007141.0,550 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/8148dO4dqFL._AC_UL320_.jpg
