Name,Price,Producer,MPN,EAN,UPC,Supported Sockets,Height,TDP,80mm Fans,92mm Fans,120mm Fans,140mm Fans,200mm Fans,Additional Fan Support,Image URL
Arctic Alpine 12 CO - 92mm,$15.62 USD,Arctic,ACALP00031A,4895213701433,,"1150, 1151, 1155, 1156",79 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/51dsCefXeCL._AC_UY218_.jpg
Arctic Alpine 12 LP Low-Profile - 92mm,$9.42 USD,Arctic,ACALP00029A,4895213701426,,"1150, 1151, 1155, 1156","42,5 mm",,0,0,0,0,0,False,https://m.media-amazon.com/images/I/71iccCujg0L._AC_UY218_.jpg
Arctic Alpine 12 passiver - black,$12.22 USD,Arctic,ACALP00024A,4895213701303,872767009264.0,"1150, 1151, 1155, 1156",69 mm,,0,0,0,0,0,False,
Arctic Alpine 64 GT - 80mm,$10.15 USD,Arctic,UCACO-P1600-GBA01,872767002265,,"754, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",65 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/616Pz6kDZZL._AC_UY218_.jpg
Arctic Alpine 64 plus - 92mm,$17.08 USD,Arctic,UCACO-AP60301-BUA01,872767004566,872767004566.0,"939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",70 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/61mcARVlG5L._AC_UY218_.jpg
Arctic Alpine AM4 - 92mm,$11.99 USD,Arctic,ACALP00025A,4895213701457,,AM4,69 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/51dsCefXeCL._AC_UY218_.jpg
"Arctic Alpine AM4 passiver , black",$15.95 USD,Arctic,ACALP00022A,4895213701259,872767009219.0,AM4,70 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/61bNbcjICAL._AC_UY218_.jpg
Arctic Alpine M1 aktiv,$11.44 USD,ARCTIC,Arctic Alpine M1 aktiv,872767007710,,AM1,41 mm,,0,0,0,0,0,False,
ARCTIC COOLING ACALP64-GT 80mm Alpine 64 GT,$10.15 USD,ARCTIC COOLING,ACALP64-GT,872767002265,,"FM2,FM1,AM3,AM2, 1150,2011,1366,1156,1155,775",64 mm,,0,0,0,0,0,False,
ARCTIC COOLING ACFZ11-LP 92mm Fluid Dynamic Freezer 11 LP Intel for Power Users,$21.75 USD,ARCTIC COOLING,ACFZ11-LP,872767002500,,"1150,1155,1156,775",53 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/61lSHQayebL._AC_UY218_.jpg
ARCTIC COOLING ACFZ13 92mm High Performance for Intel and AMD,$31.86 USD,ARCTIC COOLING,ACFZ13,872767003781,872767003781.0,"754 , 939 , AM2 , AM2+ , AM3, 1150 , 775 , 1155 , 1156 , 1366",130 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/51dsCefXeCL._AC_UY218_.jpg
Arctic Alpine M1 aktiv,$11.44 USD,ARCTIC,Arctic Alpine M1 aktiv,872767007710,,AM1,41 mm,,0,0,0,0,0,False,
ARCTIC COOLING Freezer 7 Pro Rev.2 92mm Fluid Dynamic,$27.44 USD,ARCTIC COOLING,Freezer 7 Pro Rev.2,872767002494,,"1150 , 1366 , 1156 , 1155 , 775, AM3 , AM2+ , AM2 , 939 , 754",127 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/61KSAfudIuL._AC_UY218_.jpg
ARCTIC COOLING UCACO-FI11001-CSA01 92mm,$28.29 USD,ARCTIC COOLING,UCACO-FI11001-CSA01,872767006812,,"2011 , 1150 , 1155 , 1156",130 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/71z0mCCjxXL._AC_UY218_.jpg
ARCTIC COOLING UCACO-P0900-CSB01 120mm Fluid Dynamic Bearing,$41.4 USD,ARCTIC COOLING,UCACO-P0900-CSB01,872767002432,872767002432.0,"1366 , 1156 , 1155 , 775, FM1 , AM3+ , AM3 , AM2+ , AM2 , 939 , 754",140 mm,,0,0,0,0,0,False,
Arctic Freezer 11 LP - 92mm,$21.62 USD,Arctic,UCACO-P2000000-BL,4895213701242,,"1150, 1151, 1155, 1156, 775",53 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/61KSAfudIuL._AC_UY218_.jpg
Arctic Freezer 12 - 92mm,$26.07 USD,Arctic,ACFRE00027A,872767008922,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",130 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/61NTew7Du+L._AC_UY218_.jpg
Arctic Freezer 12 CO - 92mm,$29.37 USD,Arctic,ACFRE00030A,872767008939,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",130 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/710CJ3gY2GL._AC_UY218_.jpg
Arctic Freezer 13 - 92mm,$31.41 USD,Arctic,UCACO-FZ130-BL,4895213701020,,"1150, 1151, 1155, 1156, 1366, 754, 775, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",130 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/61KSAfudIuL._AC_UY218_.jpg
Arctic Freezer 13 Continuous Operation - 92mm,$38.53 USD,Arctic,UCACO-FZ13100-BL,872767004436,872767004436.0,"1150, 1151, 1155, 1156, 1366, 754, 775, 939, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",130 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/61KSAfudIuL._AC_UY218_.jpg
"Arctic Freezer 33 TR , red - 120mm",$44.24 USD,Arctic,ACFRE00038A,4895213700221,,"2011, 2011-V3, 2066, AM4, TR4",155 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/61NTew7Du+L._AC_UY218_.jpg
